id,is_canceled
1,0
2,0
3,1
4,1
5,1
6,1
7,0
8,1
9,0
10,1
11,1
12,0
13,0
14,0
15,1
16,0
17,1
18,1
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,1
28,0
29,1
30,0
31,0
32,0
33,1
34,0
35,0
36,1
37,1
38,1
39,0
40,0
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,0
49,1
50,1
51,1
52,0
53,1
54,0
55,0
56,0
57,1
58,0
59,1
60,1
61,1
62,0
63,0
64,1
65,0
66,0
67,0
68,0
69,0
70,1
71,1
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,1
83,1
84,1
85,0
86,0
87,1
88,0
89,0
90,1
91,0
92,0
93,1
94,0
95,0
96,0
97,0
98,0
99,1
100,1
101,1
102,1
103,0
104,1
105,0
106,0
107,0
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,1
121,1
122,0
123,0
124,1
125,1
126,1
127,0
128,0
129,0
130,1
131,0
132,1
133,1
134,1
135,1
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,1
147,1
148,1
149,1
150,0
151,0
152,0
153,0
154,0
155,1
156,0
157,1
158,0
159,0
160,1
161,0
162,1
163,1
164,0
165,0
166,0
167,0
168,1
169,0
170,0
171,0
172,1
173,0
174,1
175,1
176,1
177,0
178,1
179,1
180,1
181,1
182,1
183,1
184,0
185,1
186,0
187,1
188,0
189,0
190,0
191,0
192,1
193,1
194,0
195,1
196,0
197,0
198,0
199,0
200,1
201,0
202,1
203,1
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,1
212,1
213,0
214,1
215,0
216,1
217,1
218,1
219,0
220,0
221,0
222,0
223,1
224,0
225,0
226,1
227,1
228,1
229,0
230,0
231,1
232,0
233,1
234,0
235,1
236,0
237,1
238,0
239,1
240,0
241,1
242,1
243,0
244,0
245,1
246,0
247,0
248,0
249,1
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,1
258,1
259,0
260,0
261,1
262,0
263,0
264,0
265,1
266,0
267,0
268,1
269,0
270,0
271,1
272,1
273,0
274,0
275,1
276,1
277,0
278,1
279,0
